"pos","pick","fitted_cost","n_cost","mean_cost","last_cost","var_cost","range_cost","fitted_points","last_points","n_points","mean_points","var_points","range_points","cluster","mean_cluster_cost","range_cluster_cost","mean_cluster_points","range_cluster_points","range_cluster_picks"
"RB",32,10.0926592988329,5,12.8,2,54.7,"2, 21",7.66661823282542,11.61875,5,7.9,10.2,"3.6, 11.6",2,12,"10, 14",7.7,"7.6, 7.8","27, 32"
"RB",33,9.06384179804741,5,8.2,1,74.7,"1, 19",7.48854342524757,7.04,5,6.4,4.8,"3.4, 8.6",1,7,"6, 9",7.3,"7.1, 7.6","33, 39"
"RB",34,8.11249582164757,5,8,3,52.5,"2, 20",7.30818512529878,8.61428571428571,5,8.4,11.3,"5.1, 13.3",1,7,"6, 9",7.3,"7.1, 7.6","33, 39"
"RB",35,7.55814080828923,5,6.4,3,45.3,"1, 18",7.15446976676243,7.2,5,6.6,0.9,"5.5, 7.8",1,7,"6, 9",7.3,"7.1, 7.6","33, 39"
"RB",36,7.07670796972083,5,6.4,7,11.3,"1, 10",7.07705395347806,8,5,7.1,0.9,"5.8, 8",1,7,"6, 9",7.3,"7.1, 7.6","33, 39"
"RB",37,6.83869801651753,5,8,9,12.5,"2, 11",7.20269528020299,4.43571428571429,5,8.4,9.9,"4.4, 11.7",1,7,"6, 9",7.3,"7.1, 7.6","33, 39"
"RB",38,6.57308936367995,5,8.4,1,59.3,"1, 20",7.36615245351339,3.62,5,5.7,4.3,"3.5, 8.1",1,7,"6, 9",7.3,"7.1, 7.6","33, 39"
"RB",39,5.91256207877855,5,3.6,2,8.3,"1, 8",7.64877805862074,2.4,5,6.6,24.8,"1.6, 13.9",1,7,"6, 9",7.3,"7.1, 7.6","33, 39"
"RB",40,4.69423209529461,5,6,1,15.5,"1, 10",7.86129737517167,12.5307692307692,5,9.6,16.7,"4.1, 13.3",11,2,"1, 5",7.3,"6.2, 8","40, 62"
"RB",41,3.45614096769296,5,2.8,1,16.2,"1, 10",7.79742845415416,11.4470588235294,5,7.6,8.6,"4.2, 11.4",11,2,"1, 5",7.3,"6.2, 8","40, 62"
"RB",42,2.63532945867064,5,3.6,1,12.8,"1, 8",7.5824447771806,3.58125,5,8.4,33.9,"2.3, 16.9",11,2,"1, 5",7.3,"6.2, 8","40, 62"
"RB",43,2.33143688716554,5,1.2,2,0.2,"1, 2",6.89196434062119,7.91875,5,6.7,10.6,"1.9, 10.7",11,2,"1, 5",7.3,"6.2, 8","40, 62"
"RB",44,2.17689837852407,5,1,1,0,"1, 1",6.16535084509181,7.26428571428571,5,7,15.4,"2.1, 12.5",11,2,"1, 5",7.3,"6.2, 8","40, 62"
"RB",45,2.11259268967807,6,3.7,2,7.1,"1, 7",5.46307621626107,3.475,6,4.5,3.6,"2.7, 7.7",3,1,"1, 2",5,"4.1, 6.2","45, 60"
"RB",46,1.95226358858328,4,2.5,1,1.7,"1, 4",5.15947374659577,5.2625,4,3.2,7,"0.4, 5.7",3,1,"1, 2",5,"4.1, 6.2","45, 60"
"RB",47,1.80769233066865,5,1.2,1,0.2,"1, 2",4.98502309592403,11.64,5,5.2,12.9,"3.3, 11.6",3,1,"1, 2",5,"4.1, 6.2","45, 60"
"RB",48,1.61173790397952,5,1.6,1,1.8,"1, 4",5.14586617203753,6.5,5,6.5,22.6,"2.6, 14.5",3,1,"1, 2",5,"4.1, 6.2","45, 60"
"RB",49,1.36350121055198,5,1,1,0,"1, 1",5.30807824531156,6.94444444444444,5,5.9,3,"2.9, 7.4",3,1,"1, 2",5,"4.1, 6.2","45, 60"
"RB",50,1.13459517064718,5,1,1,0,"1, 1",5.35295341541337,3.86153846153846,5,4.1,8.4,"1.4, 8.9",3,1,"1, 2",5,"4.1, 6.2","45, 60"
"RB",51,1.07811166709657,4,1.8,1,0.9,"1, 3",5.08485393361204,8.38125,4,5.7,19.9,"0.1, 10.1",3,1,"1, 2",5,"4.1, 6.2","45, 60"
"RB",52,1.08259431646055,4,1,1,0,"1, 1",4.71112458685139,9.78,4,6.6,16.4,"0.9, 9.8",3,1,"1, 2",5,"4.1, 6.2","45, 60"
"RB",53,1.17180075949582,4,1.2,1,0.2,"1, 2",4.44500292282595,1.87,4,3.3,1.4,"1.9, 4.7",3,1,"1, 2",5,"4.1, 6.2","45, 60"
"RB",54,1.27360423372713,4,1,1,0,"1, 1",4.23576896929862,6.6,4,3.6,4.9,"1.6, 6.6",3,1,"1, 2",5,"4.1, 6.2","45, 60"
"RB",55,1.30881810218626,4,1,1,0,"1, 1",4.14258843204483,2.4,4,2.9,0.1,"2.4, 3.3",3,1,"1, 2",5,"4.1, 6.2","45, 60"
"RB",56,1.32991570878798,4,1.5,1,0.3,"1, 2",4.26622217916846,9.08888888888889,4,4.3,13.5,"1.4, 9.1",3,1,"1, 2",5,"4.1, 6.2","45, 60"
"RB",57,1.32116441492363,3,2.7,6,8.3,"1, 6",4.5104801498989,1.65,3,3.5,4.4,"1.6, 5.8",3,1,"1, 2",5,"4.1, 6.2","45, 60"
"RB",58,1.29758863951895,3,1,1,0,"1, 1",4.91934657635937,0.9375,3,4,11,"0.9, 7.5",3,1,"1, 2",5,"4.1, 6.2","45, 60"
"RB",59,1.25867730927877,2,1,1,0,"1, 1",5.47750849051762,5.52666666666667,2,4.9,0.8,"4.3, 5.5",3,1,"1, 2",5,"4.1, 6.2","45, 60"
"RB",60,1.20391935090794,1,1,1,NA,"1, 1",6.17865976354198,4.33571428571429,1,4.3,NA,"4.3, 4.3",3,1,"1, 2",5,"4.1, 6.2","45, 60"
"RB",61,1.13280369111129,1,1,1,NA,"1, 1",7.01649426660076,14.62,1,14.6,NA,"14.6, 14.6",11,2,"1, 5",7.3,"6.2, 8","40, 62"
"RB",62,1.04481925659364,1,1,1,NA,"1, 1",7.98470587086226,6.07692307692308,1,6.1,NA,"6.1, 6.1",11,2,"1, 5",7.3,"6.2, 8","40, 62"
"TE",1,41.6902815010684,5,41.6,69,294.8,"22, 69",10.0602666609939,9.66,5,10,2,"8.8, 12.4",1,42,"42, 42",10.1,"10.1, 10.1","1, 1"
"TE",2,26.7001302567521,2,27.5,31,24.5,"24, 31",10.8831337369269,9.70769230769231,5,11,5.8,"7.6, 13.8",2,21,"18, 27",8.3,"6.1, 10.9","2, 6"
"TE",3,20.2,5,20.2,41,139.7,"12, 41",9.41861111111112,12.3777777777778,5,9.4,3.5,"7.8, 12.4",2,21,"18, 27",8.3,"6.1, 10.9","2, 6"
"TE",4,23.6,5,23.6,24,14.3,"21, 30",6.08027564102564,2.83846153846154,5,6.1,5.8,"2.8, 8.3",2,21,"18, 27",8.3,"6.1, 10.9","2, 6"
"TE",5,17.6,5,17.6,11,23.3,"11, 24",7.78369444444444,5.44,5,7.8,3.1,"5.4, 9.5",2,21,"18, 27",8.3,"6.1, 10.9","2, 6"
"TE",6,18.2,5,18.2,27,33.7,"13, 27",7.34244444444444,6.31666666666667,5,7.3,10.8,"4.5, 12.7",2,21,"18, 27",8.3,"6.1, 10.9","2, 6"
"TE",7,13.6,5,13.6,13,71.3,"4, 27",5.92375263951734,3.9,5,5.9,3.4,"3.9, 8.9",4,8,"5, 14",6.2,"4.8, 8.7","7, 14"
"TE",8,7,5,7,1,14.5,"1, 11",6.1904582590612,4.04545454545455,5,6.2,2.5,"4, 7.9",4,8,"5, 14",6.2,"4.8, 8.7","7, 14"
"TE",9,9.6,5,9.6,4,53.3,"4, 22",4.82526190476191,4.16666666666667,5,4.8,1.8,"3, 6.3",4,8,"5, 14",6.2,"4.8, 8.7","7, 14"
"TE",10,5.8,5,5.8,4,14.7,"1, 11",8.72757739938081,8.13333333333333,5,8.7,15.9,"4.1, 15",4,8,"5, 14",6.2,"4.8, 8.7","7, 14"
