"pos","pick","fitted_cost","n_cost","mean_cost","last_cost","var_cost","range_cost","fitted_points","last_points","n_points","mean_points","var_points","range_points","cluster","mean_cluster_cost","range_cluster_cost","mean_cluster_points","range_cluster_points","range_cluster_picks"
"WR",23,24.5744482091555,4,28,26,72,"20, 40",9.05514879620367,10.2333333333333,5,8.9,3.6,"6.7, 11.3",18,24,"23, 25",9.2,"9.1, 9.4","23, 24"
"WR",24,22.7846366761866,5,18,15,126.5,"1, 30",9.35650984586423,10.9833333333333,5,10.2,1.2,"8.4, 11",18,24,"23, 25",9.2,"9.1, 9.4","23, 24"
"WR",25,20.8417579313103,5,19.6,25,59.3,"7, 26",9.56570512196168,9.27647058823529,5,8.1,4.1,"5, 10.2",7,20,"19, 21",9.5,"9.4, 9.6","25, 26"
"WR",26,18.9591024944372,5,19.2,19,96.2,"5, 31",9.38978332843046,10.1552941176471,5,9.9,2.6,"7.9, 11.7",7,20,"19, 21",9.5,"9.4, 9.6","25, 26"
"WR",27,17.2013878952647,5,20.2,13,38.7,"13, 26",9.08132698345177,11.74375,5,10.9,9.2,"7, 15",5,16,"14, 17",8.5,"7.8, 9.1","27, 29"
"WR",28,15.6522557266285,5,20.4,8,62.8,"8, 28",8.54391026542217,7.88,5,8,2.9,"6.6, 10.9",5,16,"14, 17",8.5,"7.8, 9.1","27, 29"
"WR",29,14.3281942255132,5,7.8,4,36.7,"1, 17",7.83938318598477,4.02666666666667,5,6.7,9.7,"3.6, 10.3",5,16,"14, 17",8.5,"7.8, 9.1","27, 29"
"WR",30,13.4100340380466,3,10,13,7,"8, 13",7.38322365892921,8.63,5,8.4,1,"7.4, 9.6",15,12,"11, 13",7.6,"7.4, 7.9","30, 34"
"WR",31,12.5754631791253,5,13.8,11,4.7,"11, 16",7.43051759960282,10.2941176470588,5,6.6,8.7,"2.2, 10.3",15,12,"11, 13",7.6,"7.4, 7.9","30, 34"
"WR",32,11.9939386001873,5,12.2,13,86.7,"5, 28",7.55647331126207,9.10625,5,5.8,7.5,"2.5, 9.1",15,12,"11, 13",7.6,"7.4, 7.9","30, 34"
"WR",33,11.5035690828944,5,13.8,6,102.2,"4, 29",7.76937279531148,8.3,5,8.5,4,"6.4, 11.1",15,12,"11, 13",7.6,"7.4, 7.9","30, 34"
"WR",34,10.6689012589951,5,12.6,9,32.3,"5, 18",7.9331031200647,4.95,5,9.5,17.1,"5, 16.2",15,12,"11, 13",7.6,"7.4, 7.9","30, 34"
"WR",35,9.68042451991728,5,9.2,1,24.2,"1, 14",7.63860159467677,9.75555555555556,5,8.4,4.9,"5.9, 11.4",11,8,"7, 10",6.4,"5.6, 7.6","35, 41"
"WR",36,8.69786842462879,5,4.6,7,18.8,"1, 11",7.26286504079668,7.92142857142857,5,7.4,2.3,"6.1, 9.8",11,8,"7, 10",6.4,"5.6, 7.6","35, 41"
"WR",37,8.30155484878174,5,6.6,10,33.3,"1, 15",6.71029737220617,8.41333333333333,5,5.2,11.7,"1.7, 9.3",11,8,"7, 10",6.4,"5.6, 7.6","35, 41"
"WR",38,7.97854961514988,5,10,8,33.5,"2, 18",6.13526111546853,4.60625,5,5.6,0.9,"4.5, 6.5",11,8,"7, 10",6.4,"5.6, 7.6","35, 41"
"WR",39,7.85694513954032,6,10.5,16,45.9,"1, 20",5.84085132075808,8.3125,6,6.2,3.2,"3.2, 8.3",11,8,"7, 10",6.4,"5.6, 7.6","35, 41"
"WR",40,7.70598593551277,4,7,2,12.7,"2, 10",5.66065660585448,5.65,4,5.4,9.9,"1, 8.1",11,8,"7, 10",6.4,"5.6, 7.6","35, 41"
"WR",41,6.87977921943604,5,5.8,5,33.2,"1, 15",5.6369265815389,11.8066666666667,5,6.9,8.4,"4.6, 11.8",11,8,"7, 10",6.4,"5.6, 7.6","35, 41"
"WR",42,5.60291917908379,5,5.8,1,26.2,"1, 14",5.72034848450147,6.9875,5,5.7,6.5,"1.3, 7.7",3,4,"3, 6",5.1,"4.6, 6","42, 56"
"WR",43,4.32824641896456,5,4.4,2,35.8,"1, 15",5.959018261051,4.94,5,4.1,7.7,"1.5, 8.5",3,4,"3, 6",5.1,"4.6, 6","42, 56"
"WR",44,3.86288714078996,5,2.6,1,6.8,"1, 7",6.29993886305004,4.46111111111111,5,7.1,17.9,"2, 11.8",17,3,"3, 4",6.1,"5, 6.6","44, 57"
"WR",45,3.55748613915754,5,4,4,9.5,"1, 9",6.4829638730312,8.5375,5,6.1,7,"3.1, 8.5",17,3,"3, 4",6.1,"5, 6.6","44, 57"
"WR",46,3.20531527728865,5,3,1,4.5,"1, 6",6.55104871524181,8.94444444444444,5,6,3.9,"4.2, 8.9",17,3,"3, 4",6.1,"5, 6.6","44, 57"
"WR",47,2.96771689170469,5,3.2,5,4.2,"1, 5",6.54377137582857,9.6875,5,9.7,12.7,"3.8, 13",17,3,"3, 4",6.1,"5, 6.6","44, 57"
"WR",48,2.62804484788503,5,5.2,1,34.2,"1, 15",6.24219635673821,5.05294117647059,5,5.3,16.4,"0.6, 11.8",17,3,"3, 4",6.1,"5, 6.6","44, 57"
"WR",49,3.04462799804198,5,1.6,4,1.8,"1, 4",5.87468659396084,3.19444444444444,5,5.1,2,"3.2, 6.5",17,3,"3, 4",6.1,"5, 6.6","44, 57"
"WR",50,3.55436351256914,5,1.6,1,0.8,"1, 3",5.43332725526608,8.45,5,5.9,6.5,"2.1, 8.4",3,4,"3, 6",5.1,"4.6, 6","42, 56"
"WR",51,4.03964285186008,5,2.2,1,7.2,"1, 7",5.03114207352435,0.328571428571429,5,3.4,5.6,"0.3, 7",3,4,"3, 6",5.1,"4.6, 6","42, 56"
"WR",52,4.34787018513312,4,5.2,14,37.6,"1, 14",4.80596949487919,4.99846153846154,4,6.4,15.6,"3.2, 12.2",3,4,"3, 6",5.1,"4.6, 6","42, 56"
"WR",53,4.19205830728164,4,13.5,1,280.3,"1, 37",4.64282289623133,0.95,4,3.2,6.8,"1, 6.7",3,4,"3, 6",5.1,"4.6, 6","42, 56"
"WR",54,3.93563229051909,4,1.2,1,0.2,"1, 2",4.68349439228523,5.8875,4,4.4,9,"1.8, 7.8",3,4,"3, 6",5.1,"4.6, 6","42, 56"
"WR",55,3.50830305555229,4,1.8,1,2.2,"1, 4",4.8261652508369,5.73333333333333,4,6.3,1.8,"4.7, 7.7",3,4,"3, 6",5.1,"4.6, 6","42, 56"
"WR",56,3.04339842585162,4,1,1,0,"1, 1",4.9133245217574,3.88666666666667,4,5,1.9,"3.8, 6.6",3,4,"3, 6",5.1,"4.6, 6","42, 56"
"WR",57,2.50233520395139,4,1,1,0,"1, 1",4.95463172554112,6.73684210526316,4,4.9,2,"3.5, 6.7",17,3,"3, 4",6.1,"5, 6.6","44, 57"
"WR",58,1.97389489100926,3,3.3,2,10.3,"1, 7",5.02088423360955,4.74166666666667,3,6,3.3,"4.7, 7.3",14,1,"1, 2",5.3,"5, 6.1","58, 69"
"WR",59,1.6372041722537,3,1.3,2,0.3,"1, 2",5.04627787222445,7.45,3,5.3,3.7,"3.8, 7.5",14,1,"1, 2",5.3,"5, 6.1","58, 69"
"WR",60,1.29306351763044,2,1,1,0,"1, 1",5.0299883332776,1.28,2,3.3,8.1,"1.3, 5.3",14,1,"1, 2",5.3,"5, 6.1","58, 69"
"WR",61,0.992210879991851,2,1,1,0,"1, 1",5.02319034211578,7.6125,2,7.6,0,"7.6, 7.6",14,1,"1, 2",5.3,"5, 6.1","58, 69"
"WR",62,0.785384212190295,2,1,1,0,"1, 1",5.03807827518315,6.8375,2,3.4,23.4,"0, 6.8",14,1,"1, 2",5.3,"5, 6.1","58, 69"
"WR",63,0.668411012209392,2,1,1,0,"1, 1",5.08684650892387,9.22222222222222,2,6.6,14,"3.9, 9.2",14,1,"1, 2",5.3,"5, 6.1","58, 69"
"WR",64,0.598004109215256,2,1,1,0,"1, 1",5.18168941978212,3.69375,2,3.6,0,"3.5, 3.7",14,1,"1, 2",5.3,"5, 6.1","58, 69"
"WR",65,0.566229452833999,1,1,1,NA,"1, 1",5.31665425994615,2.275,1,2.3,NA,"2.3, 2.3",14,1,"1, 2",5.3,"5, 6.1","58, 69"
"WR",66,0.565152992691731,1,1,1,NA,"1, 1",5.47798690191814,2.5,1,2.5,NA,"2.5, 2.5",14,1,"1, 2",5.3,"5, 6.1","58, 69"
"WR",67,0.586840678414564,1,1,1,NA,"1, 1",5.66617965261314,7.3125,1,7.3,NA,"7.3, 7.3",14,1,"1, 2",5.3,"5, 6.1","58, 69"
"WR",68,0.632260093729063,1,1,1,NA,"1, 1",5.88172481894619,6.98125,1,7,NA,"7, 7",14,1,"1, 2",5.3,"5, 6.1","58, 69"
"WR",69,0.70778807015014,1,1,1,NA,"1, 1",6.12511470783235,3.56,1,3.6,NA,"3.6, 3.6",14,1,"1, 2",5.3,"5, 6.1","58, 69"
"WR",70,0.813604428986427,1,1,1,NA,"1, 1",6.39684162618666,6.57857142857143,1,6.6,NA,"6.6, 6.6",4,1,"1, 2",7.1,"6.4, 7.8","70, 74"
"WR",71,0.949888991546557,2,1,1,0,"1, 1",6.69739788092417,9.1625,2,9.2,NA,"9.2, 9.2",4,1,"1, 2",7.1,"6.4, 7.8","70, 74"
"WR",73,1.31458201307287,1,1,1,NA,"1, 1",7.38696762720897,7.175,1,7.2,NA,"7.2, 7.2",4,1,"1, 2",7.1,"6.4, 7.8","70, 74"
"WR",74,1.54335011465633,1,1,1,NA,"1, 1",7.77696573258636,7.95,1,8,NA,"8, 8",4,1,"1, 2",7.1,"6.4, 7.8","70, 74"
